s,e,it,v,n,wr,pf,ret,dd,expo,avg
QQQ,NASDAQ,1h,E2_TIME20,35,65.71428571428571,1.7054433710313595,15.117265658971156,-9.718075053441467,14.58,0.4243215479965122
QQQ,NASDAQ,1h,E2_RSI50,34,73.52941176470588,1.9907021342741231,9.774378280901042,-5.547141996904569,6.44,0.28013952002784154
AAPL,NASDAQ,4h,E2_ST,39,71.7948717948718,3.3539209630965097,311.26848521090443,-34.6051184921267,41.2,4.153507827882428
AAPL,NASDAQ,4h,E1_ST,63,58.73015873015873,2.2343477273909027,309.8770188779505,-38.791170609267745,64.44,2.625892074445959
AAPL,NASDAQ,4h,ST_ONLY,100,51.0,1.874955489287924,369.17891453306834,-27.028529253173495,57.54,1.7568202289391013
AAPL,NASDAQ,4h,E2_TIME20,44,54.54545454545455,1.4711961753556182,53.57230390284386,-36.93854587355888,18.34,1.1863680778720593
AAPL,NASDAQ,4h,E2_RSI50,45,68.88888888888889,1.5353373905749792,19.51487330859929,-30.125184014430783,7.98,0.43497435343874324
AAPL,NASDAQ,1h,E2_ST,35,42.857142857142854,1.4087089137337399,16.991961461855354,-13.013272544445053,33.5,0.5119060882491163
AAPL,NASDAQ,1h,E1_ST,70,47.142857142857146,1.5037655687717162,42.676396865350654,-24.61207984718231,66.9,0.5853436555241764
AAPL,NASDAQ,1h,ST_ONLY,94,38.297872340425535,1.2165203208100048,23.01960030467527,-21.656261580334125,56.92,0.2686250236495382
AAPL,NASDAQ,1h,E2_TIME20,39,35.8974358974359,0.7583485856501492,-10.308655158467772,-16.095338196033104,16.38,-0.244007865354523
AAPL,NASDAQ,1h,E2_RSI50,42,61.904761904761905,1.5107867376816544,10.162978975270232,-8.722527472527485,8.52,0.24371023293202118
MSFT,NASDAQ,4h,E2_ST,31,45.16129032258065,1.1363046330675022,10.57960512918954,-40.218300330086066,20.82,0.4882436176129529
MSFT,NASDAQ,4h,E1_ST,76,52.63157894736842,1.4795927571834113,128.69987620087343,-29.57564037512427,60.56,1.2968920808991167
MSFT,NASDAQ,4h,ST_ONLY,113,39.823008849557525,1.0409141804090385,9.206544665908488,-40.06672722004725,57.98,0.23031533325914155
MSFT,NASDAQ,4h,E2_TIME20,31,58.064516129032256,1.489622411261238,28.814683585113098,-30.61035246100625,13.02,0.9271412531808786
MSFT,NASDAQ,4h,E2_RSI50,34,67.6470588235294,1.8654523368675973,21.880948133611234,-13.364631938923798,5.06,0.6145580227383185
